STOP_SEQUENCE,CUM_TIME,CUM_DIST
38,55,11.981
33,58,12.442
29,61,13.03
25,64,13.873
19,68,14.855
119,0,0
119,4,0.224
119,6,0.245
119,9,0.264
119,12,0.266
119,15,0.277
119,18,0.28
119,19,0.285
119,20,0.403
119,21,0.496
109,24,1.29
106,27,2.111
103,30,2.68
98,32,3.547
92,35,4.269
85,38,5.247
80,41,5.906
77,44,6.268
75,47,6.687
71,50,7.271
68,53,7.795
67,54,7.936
64,56,8.379
62,59,8.643
59,62,8.948
56,65,9.557
54,68,9.819
53,70,10.076
50,71,10.567
45,74,11.337
39,77,12.227
33,80,12.837
31,83,13.144
28,86,13.638
26,89,14.231
21,92,14.937
19,93,15.227
11,98,16.754
7,101,17.363
1,104,18.381
1,0,0
1,1,0.079
1,4,0.082
1,7,0.084
1,10,0.088
1,13,0.09
1,14,0.093
1,16,0.141
2,18,0.334
3,20,0.506
6,22,1.161
10,25,1.933
21,31,3.803
27,34,4.768
28,37,5.197
32,40,5.775
36,43,6.117
41,46,6.688
43,48,7.035
44,49,7.208
49,52,8.028
53,55,8.782
56,58,9.157
61,61,9.839
64,64,10.216
68,66,10.73
69,68,10.972
69,69,11.2
74,72,11.808
76,75,12.244
79,78,12.594
83,82,13.143
87,84,13.718
93,87,14.515
94,90,14.761
99,93,15.435
105,97,16.459
112,102,18.167
116,105,18.821
2,0,0
2,1,0.02
7,4,1.012
8,6,1.305
10,7,1.507
21,12,3.447
27,15,4.408
32,19,5.406
38,22,5.954
42,24,6.567
47,27,7.233
49,30,7.716
53,33,8.456
56,36,8.853
60,39,9.402
68,45,10.46
69,47,10.596
69,48,10.72
73,51,11.319
76,54,11.875
83,58,12.756
89,60,13.492
93,63,14.129
96,66,14.483
103,69,15.512
119,0,0
119,5,0.035
113,26,0.309
105,32,2.123
102,35,2.709
97,38,3.431
91,41,4.171
86,44,4.864
82,47,5.364
78,50,5.914
62,65,8.369
52,73,9.658
41,80,11.391
37,82,11.994
32,85,12.452
1,0,0
1,1,0.064
1,7,0.065
1,10,0.069
1,13,0.072
1,16,0.074
1,19,0.123
2,21,0.353
