STOP_SEQUENCE,CUM_TIME,CUM_DIST
2,44,10.564
2,45,10.694
1,46,10.845
1,0,0
3,2,0.172
6,4,0.828
10,7,1.599
21,13,3.469
27,16,4.435
28,19,4.863
32,22,5.441
36,25,5.783
41,28,6.355
43,30,6.701
44,31,6.875
49,34,7.694
53,37,8.449
56,40,8.824
61,43,9.505
64,46,9.883
68,48,10.397
69,50,10.638
69,51,10.866
74,54,11.474
76,57,11.911
79,60,12.26
83,64,12.809
87,66,13.384
93,69,14.181
94,72,14.428
99,75,15.101
105,79,16.125
112,84,17.833
116,87,18.487
119,89,18.834
119,0,0
113,1,0.242
107,4,1.463
105,7,2.007
104,10,2.237
98,13,3.239
94,16,3.774
86,22,4.785
82,25,5.283
81,26,5.411
79,28,5.793
75,31,6.397
71,34,6.906
69,37,7.299
67,40,7.691
64,43,8.259
61,46,8.507
58,49,8.926
56,52,9.341
53,54,9.845
52,55,9.988
48,58,10.638
45,61,11.064
42,64,11.498
37,67,12.238
33,70,12.557
31,73,12.91
26,76,13.841
26,78,13.943
25,79,14.046
20,82,14.785
20,0,0
21,2,0.154
23,3,0.462
27,7,1.128
32,12,2.128
36,15,2.486
40,18,2.935
44,21,3.494
47,24,3.968
50,27,4.538
53,30,5.108
53,31,5.215
56,33,5.564
59,36,6.055
63,39,6.49
66,42,6.896
69,45,7.415
75,51,8.415
78,54,8.895
81,57,9.258
83,59,9.511
84,60,9.676
87,63,10.072
90,66,10.439
93,69,10.858
94,72,11.102
98,75,11.622
100,78,11.97
103,81,12.505
104,83,12.753
105,84,13.003
108,87,13.631
111,90,14.287
119,96,14.979
119,0,0
113,2,0.188
110,5,0.725
107,8,1.497
103,11,2.432
99,14,2.932
97,17,3.345
94,20,3.736
90,23,4.237
88,26,4.557
85,29,4.899
82,32,5.245
81,33,5.382
79,35,5.755
79,38,5.76
76,41,6.067
74,44,6.466
71,47,6.938
69,50,7.29
67,53,7.727
64,56,8.075
61,59,8.345
59,62,8.661
59,63,8.714
58,65,8.835
56,68,9.266
52,71,9.792
48,74,10.542
43,76,11.26
41,77,11.538
36,79,12.185
32,82,12.582
29,85,12.992
26,88,13.652
25,90,13.814
24,91,14.079
20,94,14.645
20,0,0
21,2,0.215
25,4,0.714
26,6,0.963
26,8,1.089
28,9,1.383
29,12,1.672
31,15,1.981
35,18,2.405
40,21,2.985
43,24,3.447
47,27,3.984
48,29,4.172
48,30,4.263
50,33,4.588
54,36,5.258
59,42,5.997
61,45,6.251
64,48,6.592
69,54,7.409
72,57,7.967
75,60,8.491
79,63,8.921
80,66,9.113
84,69,9.676
87,72,10.078
91,75,10.652
94,78,11.026
98,81,11.528
103,84,12.291
104,86,12.656
114,93,14.747
119,95,15.018
119,0,0
112,2,0.383
108,5,1.17
105,8,1.901
103,11,2.42
98,14,3.197
95,17,3.593
91,20,4.085
87,23,4.619
83,26,5.137
81,28,5.411
80,29,5.69
75,32,6.266
72,35,6.75
70,38,7.15
67,41,7.67
64,44,8.09
61,47,8.368
59,50,8.704
56,53,9.221
54,56,9.53
53,57,9.774
50,59,10.289
47,62,10.814
43,65,11.309
41,67,11.583
40,68,11.752
37,71,12.19
33,74,12.539
30,77,13.009
28,79,13.343
26,83,13.925
21,85,14.53
20,87,14.766
20,0,0
21,2,0.127
21,3,0.127
24,6,0.64
26,9,1.055
28,12,1.344
30,15,1.732
31,18,1.951
35,21,2.358
41,24,3.039
43,25,3.381
45,27,3.65
48,30,4.142
52,33,4.774
53,35,5.131
56,36,5.435
59,39,5.961
61,42,6.201
64,45,6.483
65,48,6.76
68,51,7.243
68,52,7.3
70,54,7.676
74,57,8.157
75,60,8.42
79,63,8.919
82,66,9.417
83,67,9.52
86,69,9.937
90,72,10.414
93,75,10.88
96,78,11.251
104,84,12.538
104,85,12.573
106,87,13.166
109,90,13.862
113,92,14.602
115,93,14.838
119,95,15.096
119,0,0
110,3,0.599
107,6,1.296
103,9,2.192
101,12,2.6
94,15,3.551
90,18,4.054
86,21,4.604
82,24,5.098
81,25,5.245
77,27,5.761
74,30,6.24
70,33,6.865
68,36,7.435
61,42,8.274
59,45,8.52
56,48,8.961
53,51,9.424
