Trip ID,Service,Direction,Stop Count,Start Time,End Time,Duration
37118374,Saturday,0,34,25:16:00,25:39:00,23
37118375,Saturday,0,34,26:16:00,26:39:00,23
37118376,Saturday,0,34,27:16:00,27:39:00,23
37119171,Saturday,1,35,4:39:00,5:02:00,23
37118377,Saturday,1,35,25:39:00,26:03:00,24
37118378,Saturday,1,35,26:39:00,27:03:00,24
37118379,Saturday,1,35,27:39:00,28:03:00,24
37118367,Saturday,1,59,24:12:00,24:52:00,40
37118354,Saturday,0,61,23:26:00,24:06:00,40
37117103,Saturday,0,68,4:00:00,4:42:00,42
37118353,Saturday,0,68,24:26:00,25:08:00,42
37117094,Saturday,1,69,5:11:00,5:57:00,46
37117073,Saturday,1,97,6:14:00,7:27:00,73
37117074,Saturday,1,97,6:50:00,8:08:00,78
37117090,Saturday,1,97,7:30:00,8:50:00,80
37117092,Saturday,1,97,8:08:00,9:29:00,81
37117924,Saturday,1,97,8:46:00,10:08:00,82
37117925,Saturday,1,97,9:24:00,10:47:00,83
37117940,Saturday,1,97,10:00:00,11:25:00,85
37117927,Saturday,1,97,10:36:00,12:04:00,88
37117928,Saturday,1,97,11:12:00,12:42:00,90
37117944,Saturday,1,97,11:49:00,13:20:00,91
37117945,Saturday,1,97,12:27:00,13:59:00,92
37117946,Saturday,1,97,13:05:00,14:37:00,92
37117947,Saturday,1,97,13:43:00,15:15:00,92
37117948,Saturday,1,97,14:21:00,15:53:00,92
37117933,Saturday,1,97,15:01:00,16:32:00,91
37117934,Saturday,1,97,15:44:00,17:12:00,88
37118623,Saturday,0,101,7:49:00,9:09:00,80
37117110,Saturday,0,101,8:24:00,9:45:00,81
37117079,Saturday,0,101,9:01:00,10:23:00,82
37117097,Saturday,0,101,9:38:00,11:03:00,85
37117911,Saturday,0,101,10:17:00,11:46:00,89
37117912,Saturday,0,101,10:56:00,12:28:00,92
37117913,Saturday,0,101,11:36:00,13:10:00,94
37117914,Saturday,0,101,12:16:00,13:52:00,96
37117903,Saturday,0,101,12:56:00,14:33:00,97
37117915,Saturday,0,101,13:35:00,15:12:00,97
37117905,Saturday,0,101,14:13:00,15:49:00,96
37117918,Saturday,0,101,14:51:00,16:26:00,95
37117919,Saturday,0,101,15:29:00,17:02:00,93
37117908,Saturday,0,101,16:07:00,17:39:00,92
37117909,Saturday,0,101,16:47:00,18:17:00,90
37117922,Saturday,0,101,17:33:00,19:01:00,88
37117106,Saturday,0,104,5:33:00,6:40:00,67
37117096,Saturday,0,104,6:47:00,8:03:00,76
37117076,Saturday,0,104,7:21:00,8:41:00,80
37117904,Saturday,0,104,12:55:00,14:41:00,106
37117080,Saturday,0,104,19:08:00,20:37:00,89
37117081,Saturday,0,104,19:44:00,21:05:00,81
37117082,Saturday,0,104,21:19:00,22:43:00,84
37117100,Saturday,0,104,22:21:00,23:40:00,79
37117932,Saturday,1,104,14:13:00,15:53:00,100
37117107,Saturday,0,105,6:05:00,7:22:00,77
37117077,Saturday,0,105,7:52:00,9:17:00,85
37117078,Saturday,0,105,8:26:00,9:56:00,90
37117087,Saturday,0,105,9:04:00,10:35:00,91
37117910,Saturday,0,105,9:41:00,11:15:00,94
37117899,Saturday,0,105,10:19:00,11:57:00,98
37117900,Saturday,0,105,10:57:00,12:40:00,103
37117901,Saturday,0,105,11:37:00,13:20:00,103
37117902,Saturday,0,105,12:15:00,14:02:00,107
37117916,Saturday,0,105,13:33:00,15:19:00,106
37117917,Saturday,0,105,14:11:00,15:55:00,104
37117906,Saturday,0,105,14:47:00,16:32:00,105
37119175,Saturday,0,105,20:15:00,21:41:00,86
37117089,Saturday,1,105,7:18:00,8:47:00,89
37117091,Saturday,1,105,7:57:00,9:28:00,91
37117938,Saturday,1,105,8:35:00,10:07:00,92
37117939,Saturday,1,105,9:13:00,10:45:00,92
37117926,Saturday,1,105,9:50:00,11:24:00,94
37117941,Saturday,1,105,10:26:00,12:03:00,97
37117942,Saturday,1,105,11:02:00,12:43:00,101
37117943,Saturday,1,105,11:39:00,13:20:00,101
37117929,Saturday,1,105,12:17:00,13:59:00,102
37117930,Saturday,1,105,12:55:00,14:37:00,102
37117931,Saturday,1,105,13:33:00,15:15:00,102
37117949,Saturday,1,105,14:50:00,16:31:00,101
37117950,Saturday,1,105,15:31:00,17:09:00,98
37117951,Saturday,1,105,16:13:00,17:49:00,96
37117953,Saturday,1,105,16:53:00,18:28:00,95
37117085,Saturday,1,105,21:36:00,22:54:00,78
37117086,Saturday,1,105,22:36:00,23:52:00,76
37117083,Saturday,1,116,5:16:00,6:33:00,77
37117072,Saturday,1,116,5:47:00,7:12:00,85
37117088,Saturday,1,116,6:32:00,8:02:00,90
37117952,Saturday,1,116,16:25:00,18:08:00,103
37117935,Saturday,1,116,17:05:00,18:47:00,102
37117936,Saturday,1,116,17:30:00,19:10:00,100
37117093,Saturday,1,116,17:55:00,19:34:00,99
37117937,Saturday,1,116,18:22:00,19:56:00,94
37117075,Saturday,1,116,18:48:00,20:20:00,92
37117101,Saturday,1,116,19:14:00,20:45:00,91
37117084,Saturday,1,116,19:49:00,21:16:00,87
37117102,Saturday,1,116,20:24:00,21:57:00,93
37117104,Saturday,0,118,4:50:00,6:00:00,70
37117095,Saturday,0,118,5:50:00,7:09:00,79
37117108,Saturday,0,118,6:29:00,7:54:00,85
37117105,Saturday,0,119,5:10:00,6:28:00,78
37117109,Saturday,0,119,6:59:00,8:32:00,93
37117907,Saturday,0,119,15:26:00,17:20:00,114
37117920,Saturday,0,119,16:04:00,17:57:00,113
37117921,Saturday,0,119,16:44:00,18:36:00,112
37117923,Saturday,0,119,17:39:00,19:26:00,107
37117098,Saturday,0,119,18:08:00,19:53:00,105
37117099,Saturday,0,119,18:38:00,20:21:00,103
